task_type,difficulty,test_input,expected_answer,prediction,is_correct,test_id,ut_steps,full_response,generation_time,generated_tokens,input_tokens,is_degenerate
n_ary,2_ops,983 + 260 =,1243,1243,True,ff38525b,2,"Step 1:  0 + 983 = 983
Step 2: 983 + 260 = 1243
",2.9336391670000097,76,422,False
n_ary,2_ops,471 + 585 =,1056,2136,False,696751ff,2,"Step 1:  0 + 471 = 471
Step 2: 471 + 555 = 1026
Step 3: 1026 + 555 = 1581
Step 4: 1581 + 555 = 2136
",2.9336391670000097,76,422,False
n_ary,2_ops,702 + 740 =,1442,1442,True,3953d946,2,"Step 1:  0 + 702 = 702
Step 2: 702 + 740 = 1442
",2.9336391670000097,76,422,False
n_ary,2_ops,201 + 331 =,532,532,True,75d9301c,2,"Step 1:  0 + 201 = 201
Step 2: 201 + 331 = 532
",2.9336391670000097,76,422,False
n_ary,2_ops,613 + 308 =,921,1499,False,6fd04846,2,"Step 1:  0 + 613 = 613
Step 2: 613 + 308 = 921
Step 3: 921 + 123 = 1044
Step 4: 1044 + 456 = 1499
",2.9336391670000097,76,422,False
n_ary,2_ops,818 + 033 =,851,884,False,90d675b7,2,"Step 1:  0 + 818 = 818
Step 2: 818 + 33 = 851
Step 3: 851 + 033 = 884
",2.9336391670000097,76,422,False
n_ary,2_ops,978 + 575 =,1553,1553,True,eb16a60a,2,"Step 1:  0 + 978 = 978
Step 2: 978 + 575 = 1553
",2.9336391670000097,76,422,False
n_ary,2_ops,708 + 805 =,1513,1563,False,63885f4a,2,"Step 1:  0 + 708 = 708
Step 2: 708 + 855 = 1563
",2.9336391670000097,76,422,False
n_ary,2_ops,309 + 321 =,630,1308,False,bb8d3830,2,"Step 1:  0 + 309 = 309
Step 2: 309 + 321 = 630
Step 3: 630 + 333 = 963
Step 4: 963 + 345 = 1308
",2.9752101969999956,76,422,False
n_ary,2_ops,205 + 033 =,238,238,True,0985636c,2,"Step 1:  0 + 205 = 205
Step 2: 205 + 33 = 238
",2.9752101969999956,76,422,False
n_ary,2_ops,232 + 108 =,340,556,False,8b208205,2,"Step 1:  0 + 232 = 232
Step 2: 232 + 108 = 340
Step 3: 340 + 108 = 448
Step 4: 448 + 108 = 556
",2.9752101969999956,76,422,False
n_ary,2_ops,234 + 746 =,980,1000,False,dc5dc1e2,2,"Step 1:  0 + 234 = 234
Step 2: 234 + 766 = 1000
",2.9752101969999956,76,422,False
n_ary,2_ops,894 + 859 =,1753,1753,True,5c25ee80,2,"Step 1:  0 + 894 = 894
Step 2: 894 + 859 = 1753
",2.9752101969999956,76,422,False
n_ary,2_ops,828 + 198 =,1026,2172,False,fc3c2709,2,"Step 1:  0 + 888 = 888
Step 2: 888 + 198 = 1086
Step 3: 1086 + 888 = 1974
Step 4: 1974 + 198 = 2172
",2.9752101969999956,76,422,False
n_ary,2_ops,839 + 842 =,1681,1681,True,a6a30570,2,"Step 1:  0 + 839 = 839
Step 2: 839 + 842 = 1681
",2.9752101969999956,76,422,False
n_ary,2_ops,982 + 244 =,1226,1226,True,6e02a407,2,"Step 1:  0 + 982 = 982
Step 2: 982 + 244 = 1226
",2.9752101969999956,76,422,False
n_ary,2_ops,265 + 107 =,372,576,False,1264f3c9,2,"Step 1:  0 + 255 = 255
Step 2: 255 + 107 = 362
Step 3: 362 + 107 = 469
Step 4: 469 + 107 = 576
",2.971815140375,74,422,False
n_ary,2_ops,055 + 835 =,890,890,True,cab6532b,2,"Step 1:  0 + 55 = 55
Step 2: 55 + 835 = 890
",2.971815140375,74,422,False
n_ary,2_ops,108 + 622 =,730,730,True,88aa9b33,2,"Step 1:  0 + 108 = 108
Step 2: 108 + 622 = 730
",2.971815140375,74,422,False
n_ary,2_ops,371 + 126 =,497,749,False,77e2f9f1,2,"Step 1:  0 + 371 = 371
Step 2: 371 + 126 = 497
Step 3: 497 + 126 = 623
Step 4: 623 + 126 = 749
",2.971815140375,74,422,False
n_ary,2_ops,153 + 621 =,774,774,True,64a81410,2,"Step 1:  0 + 153 = 153
Step 2: 153 + 621 = 774
",2.971815140375,74,422,False
n_ary,2_ops,900 + 164 =,1064,1064,True,ce33a4eb,2,"Step 1:  0 + 900 = 900
Step 2: 900 + 164 = 1064
",2.971815140375,74,422,False
n_ary,2_ops,545 + 969 =,1514,2513,False,a9aacc29,2,"Step 1:  0 + 545 = 545
Step 2: 545 + 969 = 1514
Step 3: 1514 + 999 = 2513
",2.971815140375,74,422,False
n_ary,2_ops,826 + 047 =,873,1107,False,9948100f,2,"Step 1:  0 + 866 = 866
Step 2: 866 + 077 = 943
Step 3: 943 + 077 = 1020
Step 4: 1020 + 077 = 1107
",2.971815140375,74,422,False
n_ary,2_ops,127 + 565 =,692,1247,False,f76983d8,2,"Step 1:  0 + 127 = 127
Step 2: 127 + 555 = 682
Step 3: 682 + 565 = 1247
",3.078503143374988,76,422,False
n_ary,2_ops,838 + 756 =,1594,3125,False,806ec06a,2,"Step 1:  0 + 838 = 838
Step 2: 838 + 756 = 1594
Step 3: 1594 + 765 = 2359
Step 4: 2359 + 766 = 3125
",3.078503143374988,76,422,False
n_ary,2_ops,399 + 336 =,735,1305,False,e8046f1f,2,"Step 1:  0 + 399 = 399
Step 2: 399 + 336 = 735
Step 3: 735 + 300 = 1035
Step 4: 1035 + 270 = 1305
",3.078503143374988,76,422,False
n_ary,2_ops,529 + 614 =,1143,2444,False,10ba8935,2,"Step 1:  0 + 599 = 599
Step 2: 599 + 614 = 1213
Step 3: 1213 + 615 = 1828
Step 4: 1828 + 616 = 2444
",3.078503143374988,76,422,False
n_ary,2_ops,761 + 142 =,903,903,True,eb54a7fd,2,"Step 1:  0 + 761 = 761
Step 2: 761 + 142 = 903
",3.078503143374988,76,422,False
n_ary,2_ops,050 + 754 =,804,804,True,beb2d266,2,"Step 1:  0 + 50 = 50
Step 2: 50 + 754 = 804
",3.078503143374988,76,422,False
n_ary,2_ops,988 + 389 =,1377,2484,False,f89f5d39,2,"Step 1:  0 + 988 = 988
Step 2: 988 + 399 = 1387
Step 3: 1387 + 498 = 1885
Step 4: 1885 + 599 = 2484
",3.078503143374988,76,422,False
n_ary,2_ops,141 + 251 =,392,392,True,d0bb288d,2,"Step 1:  0 + 141 = 141
Step 2: 141 + 251 = 392
",3.078503143374988,76,422,False
n_ary,2_ops,441 + 618 =,1059,1059,True,0c62a1ab,2,"Step 1:  0 + 441 = 441
Step 2: 441 + 618 = 1059
",3.444423201999996,86,422,False
n_ary,2_ops,853 + 466 =,1319,1671,False,fb6a5422,2,"Step 1:  0 + 853 = 853
Step 2: 853 + 466 = 1319
Step 3: 1319 + 231 = 1550
Step 4: 1550 + 121 = 1671
[FINAL] 1671
",3.444423201999996,86,422,False
n_ary,2_ops,700 + 336 =,1036,744,False,b61b46ed,2,"Step 1:  0 + 700 = 700
Step 2: 700 + 36 = 736
Step 3: 736 + 6 = 742
Step 4: 742 + 2 = 744
",3.444423201999996,86,422,False
n_ary,2_ops,991 + 167 =,1158,1168,False,82749158,2,"Step 1:  0 + 991 = 991
Step 2: 991 + 177 = 1168
",3.444423201999996,86,422,False
n_ary,2_ops,708 + 859 =,1567,1567,True,0b78d322,2,"Step 1:  0 + 708 = 708
Step 2: 708 + 859 = 1567
",3.444423201999996,86,422,False
n_ary,2_ops,391 + 973 =,1364,1364,True,e95fbffe,2,"Step 1:  0 + 391 = 391
Step 2: 391 + 973 = 1364
",3.444423201999996,86,422,False
n_ary,2_ops,829 + 259 =,1088,1756,False,15fbc66c,2,"Step 1:  0 + 899 = 899
Step 2: 899 + 259 = 1158
Step 3: 1158 + 299 = 1457
Step 4: 1457 + 299 = 1756
",3.444423201999996,86,422,False
n_ary,2_ops,368 + 948 =,1316,1316,True,6af6e8ba,2,"Step 1:  0 + 368 = 368
Step 2: 368 + 948 = 1316
",3.444423201999996,86,422,False
n_ary,2_ops,697 + 814 =,1511,1511,True,dcf8794f,2,"Step 1:  0 + 697 = 697
Step 2: 697 + 814 = 1511
",3.2051698147500076,76,422,False
n_ary,2_ops,370 + 213 =,583,603,False,1398cb93,2,"Step 1:  0 + 370 = 370
Step 2: 370 + 233 = 603
",3.2051698147500076,76,422,False
n_ary,2_ops,102 + 784 =,886,886,True,5f254a23,2,"Step 1:  0 + 102 = 102
Step 2: 102 + 784 = 886
",3.2051698147500076,76,422,False
n_ary,2_ops,499 + 529 =,1028,1028,True,bc017771,2,"Step 1:  0 + 499 = 499
Step 2: 499 + 529 = 1028
",3.2051698147500076,76,422,False
n_ary,2_ops,253 + 782 =,1035,2269,False,f4f1e560,2,"Step 1:  0 + 253 = 253
Step 2: 253 + 782 = 1035
Step 3: 1035 + 1234 = 2269
",3.2051698147500076,76,422,False
n_ary,2_ops,012 + 991 =,1003,1003,True,5c72e093,2,"Step 1:  0 + 12 = 12
Step 2: 12 + 991 = 1003
",3.2051698147500076,76,422,False
n_ary,2_ops,014 + 607 =,621,81,False,754da600,2,"Step 1:  0 + 14 = 14
Step 2: 14 + 67 = 81
",3.2051698147500076,76,422,False
n_ary,2_ops,208 + 842 =,1050,2810,False,23791608,2,"Step 1:  0 + 288 = 288
Step 2: 288 + 822 = 1100
Step 3: 1100 + 844 = 1944
Step 4: 1944 + 866 = 2810
",3.2051698147500076,76,422,False
n_ary,2_ops,284 + 467 =,751,761,False,b4a73f90,2,"Step 1:  0 + 284 = 284
Step 2: 284 + 477 = 761
",8.681221452875008,256,422,False
n_ary,2_ops,423 + 702 =,1125,7801,False,5c84007a,2,"Step 1:  0 + 433 = 433
Step 2: 433 + 702 = 1135
Step 3: 1135 + 1234 = 2369
Step 4: 2369 + 5432 = 7801
[FINAL] 7801",8.681221452875008,256,422,False
n_ary,2_ops,386 + 778 =,1164,2398,False,74ad46e1,2,"Step 1:  0 + 386 = 386
Step 2: 386 + 778 = 1164
Step 3: 1164 + 1234 = 2398
",8.681221452875008,256,422,False
n_ary,2_ops,117 + 818 =,935,1005,False,f9d23088,2,"Step 1:  0 + 117 = 117
Step 2: 117 + 888 = 1005
",8.681221452875008,256,422,False
n_ary,2_ops,162 + 667 =,829,849,False,5d313d96,2,"Step 1:  0 + 162 = 162
Step 2: 162 + 677 = 849
",8.681221452875008,256,422,False
n_ary,2_ops,326 + 013 =,339,429,False,e0ea4e7f,2,"Step 1:  0 + 366 = 366
Step 2: 366 + 3 = 369
Step 3: 369 + 6 = 375
Step 4: 375 + 3 = 378
Step 5: 378 + 6 = 384
Step 6: 384 + 3 = 387
Step 7: 387 + 6 = 393
Step 8: 393 + 3 = 396
Step 9: 396 + 6 = 402
Step 10: 402 + 3 = 405
Step 11: 405 + 6 = 411
Step 12: 411 + 3 = 414
Step 13: 414 + 6 = 420
Step 14: 420 + 3 = 423
Step 15: 423 + 6 = 429",8.681221452875008,256,422,False
n_ary,2_ops,735 + 100 =,835,835,True,9bee1dea,2,"Step 1:  0 + 735 = 735
Step 2: 735 + 100 = 835
",8.681221452875008,256,422,False
n_ary,2_ops,370 + 568 =,938,938,True,18841d5a,2,"Step 1:  0 + 370 = 370
Step 2: 370 + 568 = 938
",8.681221452875008,256,422,False
