task_category,task_name,prompt,prediction,target,is_correct,ut_steps
Reasoning Primitive,var_assign_depth_0_code,"l = 54, v = 47, s = 51, o = 20, r = 53, l = ?
Answer: 54

v = 22, e = 62, p = 16, u = 82, k = 14, k = ?
Answer: 14

q = 44, o = 35, c = 22, p = 99, f = 86, b = 61, h = 64, o = ?
Answer: 35

r = 60, d = 13, p = 11, o = 89, j = 46, q = 33, l = 63, p = ?
Answer: 11

m = 1, h = 84, l = 50, w = 43, l = ?
Answer: 50

g = 33, s = 7, d = 89, w = 98, z = 19, n = 21, m = 15, s = ?
Answer:",7,7,True,2
Reasoning Primitive,var_assign_depth_0_code,"i = 30, e = 38, y = 71, q = 44, f = 41, b = 10, q = ?
Answer: 44

h = 1, r = 96, d = 60, f = 69, s = 75, v = 14, u = 75, s = ?
Answer: 75

w = 14, c = 25, p = 65, h = 12, h = ?
Answer: 12

h = 1, z = 6, t = 37, d = 58, q = 25, o = 7, j = 86, o = ?
Answer: 7

z = 85, b = 78, w = 74, a = 46, n = 70, z = ?
Answer: 85

i = 44, c = 24, q = 64, l = 35, x = 61, k = 85, k = ?
Answer:",85,85,True,2
Reasoning Primitive,var_assign_depth_0_code,"h = 1, z = 6, t = 37, d = 58, q = 25, o = 7, j = 86, o = ?
Answer: 7

k = 87, q = 51, x = 88, g = 85, h = 75, h = ?
Answer: 75

k = 69, e = 64, t = 59, q = 48, s = 50, r = 28, k = ?
Answer: 69

e = 85, f = 53, p = 11, b = 25, t = 67, o = 81, r = 28, b = ?
Answer: 25

h = 0, c = 21, e = 12, s = 91, h = ?
Answer: 0

j = 87, n = 79, i = 76, c = 92, f = 41, h = 71, t = 8, n = ?
Answer:",79,79,True,2
Reasoning Primitive,var_assign_depth_0_code,"o = 15, k = 53, v = 1, s = 70, a = 16, n = 60, v = ?
Answer: 1

g = 45, a = 89, d = 28, e = 50, a = ?
Answer: 89

z = 85, b = 78, w = 74, a = 46, n = 70, z = ?
Answer: 85

x = 32, z = 41, d = 59, a = 53, p = 91, x = ?
Answer: 32

v = 70, i = 95, x = 26, b = 25, r = 72, w = 7, m = 17, m = ?
Answer: 17

q = 49, x = 51, t = 68, o = 93, t = ?
Answer:",68,68,True,2
Reasoning Primitive,var_assign_depth_0_code,"k = 69, e = 64, t = 59, q = 48, s = 50, r = 28, k = ?
Answer: 69

r = 94, k = 67, t = 80, x = 47, u = 16, r = ?
Answer: 94

i = 19, c = 82, z = 23, o = 84, q = 89, n = 80, q = ?
Answer: 89

i = 30, e = 38, y = 71, q = 44, f = 41, b = 10, q = ?
Answer: 44

v = 70, i = 95, x = 26, b = 25, r = 72, w = 7, m = 17, m = ?
Answer: 17

b = 94, u = 69, o = 72, c = 27, w = 64, v = 62, v = ?
Answer:",62,62,True,2
Reasoning Primitive,var_assign_depth_0_code,"g = 40, o = 8, e = 23, h = 68, a = 54, i = 36, e = ?
Answer: 23

l = 80, z = 79, h = 54, v = 54, e = 78, v = ?
Answer: 54

r = 60, d = 13, p = 11, o = 89, j = 46, q = 33, l = 63, p = ?
Answer: 11

m = 67, o = 79, i = 71, z = 3, l = 79, m = ?
Answer: 67

x = 32, z = 41, d = 59, a = 53, p = 91, x = ?
Answer: 32

g = 45, a = 89, d = 28, e = 50, a = ?
Answer:",89,89,True,2
Reasoning Primitive,var_assign_depth_0_code,"v = 70, i = 95, x = 26, b = 25, r = 72, w = 7, m = 17, m = ?
Answer: 17

s = 41, o = 21, j = 78, d = 74, a = 54, q = 52, h = 46, d = ?
Answer: 74

f = 62, j = 74, p = 40, x = 48, s = 12, b = 21, h = 54, b = ?
Answer: 21

p = 48, u = 47, z = 32, r = 28, h = 96, r = ?
Answer: 28

r = 94, k = 67, t = 80, x = 47, u = 16, r = ?
Answer: 94

l = 94, a = 3, h = 68, k = 40, y = 47, h = ?
Answer:",68,68,True,2
Reasoning Primitive,var_assign_depth_0_code,"m = 67, o = 79, i = 71, z = 3, l = 79, m = ?
Answer: 67

v = 41, m = 68, q = 21, b = 66, c = 54, v = ?
Answer: 41

y = 41, z = 6, t = 47, d = 22, u = 3, a = 95, y = ?
Answer: 41

b = 30, l = 7, z = 67, v = 32, s = 67, q = 45, k = 61, b = ?
Answer: 30

u = 35, p = 95, g = 76, x = 59, p = ?
Answer: 95

k = 87, q = 51, x = 88, g = 85, h = 75, h = ?
Answer:",75,75,True,2
Reasoning Primitive,var_assign_depth_0_code,"p = 30, z = 94, x = 60, v = 85, z = ?
Answer: 94

d = 98, l = 18, e = 21, z = 67, b = 85, f = 20, q = 83, e = ?
Answer: 21

b = 38, y = 10, f = 69, n = 82, k = 62, r = 88, f = ?
Answer: 69

k = 81, n = 30, d = 46, u = 34, e = 63, l = 72, e = ?
Answer: 63

i = 19, c = 82, z = 23, o = 84, q = 89, n = 80, q = ?
Answer: 89

c = 69, l = 89, p = 99, j = 12, a = 45, b = 43, c = ?
Answer:",69,69,True,2
Reasoning Primitive,var_assign_depth_0_code,"r = 94, k = 67, t = 80, x = 47, u = 16, r = ?
Answer: 94

v = 41, m = 68, q = 21, b = 66, c = 54, v = ?
Answer: 41

t = 22, z = 33, g = 11, h = 26, l = 9, t = ?
Answer: 22

y = 42, n = 24, e = 34, c = 97, z = 99, z = ?
Answer: 99

g = 94, k = 16, t = 57, q = 67, l = 24, x = 68, z = 74, l = ?
Answer: 24

c = 27, h = 24, a = 61, t = 99, g = 77, v = 90, f = 36, h = ?
Answer:",24,24,True,2
