task_category,task_name,prompt,prediction,target,is_correct,ut_steps
Reasoning Primitive,var_assign_depth_0_code,"User: s = 92, b = 89, w = 77, e = 94, b = ?
Assistant: 89
User: a = 28, h = 16, v = 81, o = 13, v = ?
Assistant: 81
User: d = 96, z = 45, p = 89, j = 75, z = ?
Assistant: 45
User: y = 83, d = 25, x = 51, c = 85, n = 39, i = 67, z = 52, i = ?
Assistant: 67
User: m = 24, o = 30, f = 59, s = 97, g = 79, m = ?
Assistant: 24
User: v = 69, a = 90, s = 38, l = 32, s = ?
Assistant:",24,38,False,8
Reasoning Primitive,var_assign_depth_0_code,"User: c = 16, l = 27, d = 16, w = 82, k = 47, j = 84, o = 54, c = ?
Assistant: 16
User: m = 24, o = 30, f = 59, s = 97, g = 79, m = ?
Assistant: 24
User: d = 76, o = 43, c = 30, y = 77, y = ?
Assistant: 77
User: y = 13, o = 12, l = 81, v = 19, b = 40, x = 3, q = 5, b = ?
Assistant: 40
User: o = 97, h = 19, g = 85, z = 2, o = ?
Assistant: 97
User: o = 39, k = 37, c = 30, t = 34, h = 17, h = ?
Assistant:",17,17,True,8
Reasoning Primitive,var_assign_depth_0_code,"User: h = 83, q = 37, z = 4, w = 91, z = ?
Assistant: 4
User: h = 67, l = 34, f = 74, j = 83, o = 31, l = ?
Assistant: 34
User: y = 83, d = 25, x = 51, c = 85, n = 39, i = 67, z = 52, i = ?
Assistant: 67
User: e = 82, k = 32, o = 99, h = 78, c = 65, k = ?
Assistant: 32
User: o = 39, k = 37, c = 30, t = 34, h = 17, h = ?
Assistant: 17
User: p = 82, j = 39, h = 48, v = 35, j = ?
Assistant:",35,39,False,8
Reasoning Primitive,var_assign_depth_0_code,"User: e = 24, k = 85, t = 42, c = 4, w = 29, t = ?
Assistant: 42
User: r = 80, w = 46, v = 34, h = 19, t = 74, h = ?
Assistant: 19
User: a = 77, f = 75, k = 25, s = 45, i = 25, r = 89, f = ?
Assistant: 75
User: y = 13, o = 12, l = 81, v = 19, b = 40, x = 3, q = 5, b = ?
Assistant: 40
User: x = 64, g = 29, b = 72, n = 13, c = 97, k = 4, g = ?
Assistant: 29
User: j = 0, u = 45, g = 22, x = 81, y = 53, f = 41, f = ?
Assistant:",41,41,True,8
Reasoning Primitive,var_assign_depth_0_code,"User: t = 33, b = 85, z = 44, l = 34, b = ?
Assistant: 85
User: a = 14, n = 59, l = 21, p = 5, v = 43, g = 2, v = ?
Assistant: 43
User: x = 64, g = 29, b = 72, n = 13, c = 97, k = 4, g = ?
Assistant: 29
User: p = 78, e = 22, r = 36, b = 91, x = 99, w = 8, b = ?
Assistant: 91
User: j = 14, f = 1, y = 79, p = 42, d = 59, w = 77, f = ?
Assistant: 1
User: c = 62, g = 98, z = 72, e = 1, o = 17, n = 30, z = ?
Assistant:",30,72,False,8
Reasoning Primitive,var_assign_depth_0_code,"User: g = 63, a = 82, f = 83, t = 69, c = 13, f = ?
Assistant: 83
User: j = 80, u = 6, v = 3, k = 37, z = 68, t = 71, j = ?
Assistant: 80
User: q = 28, g = 84, w = 81, j = 14, r = 33, q = ?
Assistant: 28
User: c = 12, d = 78, u = 74, e = 16, l = 58, j = 12, c = ?
Assistant: 12
User: z = 25, h = 27, j = 52, a = 30, x = 15, y = 71, h = ?
Assistant: 27
User: j = 14, f = 1, y = 79, p = 42, d = 59, w = 77, f = ?
Assistant:",83,1,False,8
Reasoning Primitive,var_assign_depth_0_code,"User: u = 4, h = 35, a = 57, t = 17, d = 84, p = 36, d = ?
Assistant: 84
User: q = 85, f = 27, a = 40, g = 89, u = 93, g = ?
Assistant: 89
User: y = 52, p = 63, v = 31, n = 39, c = 18, a = 11, p = ?
Assistant: 63
User: t = 61, i = 20, y = 64, h = 62, f = 65, a = 19, h = ?
Assistant: 62
User: x = 5, p = 75, u = 54, f = 75, f = ?
Assistant: 75
User: p = 1, h = 45, j = 72, w = 91, w = ?
Assistant:",91,91,True,8
Reasoning Primitive,var_assign_depth_0_code,"User: g = 24, s = 20, d = 88, n = 32, w = 90, t = 99, g = ?
Assistant: 24
User: h = 55, m = 81, e = 7, b = 63, e = ?
Assistant: 7
User: x = 5, p = 75, u = 54, f = 75, f = ?
Assistant: 75
User: a = 14, n = 59, l = 21, p = 5, v = 43, g = 2, v = ?
Assistant: 43
User: n = 48, e = 99, a = 37, p = 10, v = 71, t = 6, l = 16, p = ?
Assistant: 10
User: n = 46, u = 45, m = 24, s = 61, w = 5, x = 6, n = ?
Assistant:",6,46,False,8
Reasoning Primitive,var_assign_depth_0_code,"User: k = 6, f = 12, d = 29, j = 32, j = ?
Assistant: 32
User: t = 54, p = 70, a = 11, l = 91, c = 1, a = ?
Assistant: 11
User: i = 30, a = 32, v = 33, t = 41, b = 39, l = 67, g = 52, a = ?
Assistant: 32
User: v = 69, a = 90, s = 38, l = 32, s = ?
Assistant: 38
User: l = 32, j = 14, g = 93, a = 13, r = 21, m = 88, c = 68, g = ?
Assistant: 93
User: u = 34, x = 16, m = 54, q = 38, c = 90, y = 75, i = 32, u = ?
Assistant:",22,34,False,8
Reasoning Primitive,var_assign_depth_0_code,"User: f = 55, t = 69, w = 61, u = 74, e = 42, z = 47, i = 9, t = ?
Assistant: 69
User: j = 36, o = 6, h = 97, m = 4, s = 61, h = ?
Assistant: 97
User: t = 25, u = 5, b = 72, p = 82, h = 77, t = ?
Assistant: 25
User: g = 63, a = 82, f = 83, t = 69, c = 13, f = ?
Assistant: 83
User: z = 56, b = 42, m = 23, f = 53, p = 10, b = ?
Assistant: 42
User: j = 84, z = 33, q = 0, m = 73, m = ?
Assistant:",73,73,True,8
