task_category,task_name,prompt,prediction,target,is_correct,ut_steps
Reasoning Primitive,var_assign_depth_0_code,"v = 77, w = 33, j = 91, m = 11, v = ?
Answer: 77

s = 89, r = 26, u = 39, d = 63, j = 7, x = 25, p = 59, r = ?
Answer: 26

z = 58, q = 60, l = 73, o = 75, t = 27, c = 34, t = ?
Answer: 27

c = 65, n = 49, m = 56, f = 2, g = 2, n = ?
Answer: 49

u = 65, x = 59, y = 44, f = 9, t = 74, r = 48, f = ?
Answer: 9

s = 42, f = 57, o = 85, c = 22, s = ?
Answer:",42,42,True,12
Reasoning Primitive,var_assign_depth_0_code,"l = 69, x = 10, k = 17, f = 65, r = 32, p = 91, f = ?
Answer: 65

j = 93, d = 82, b = 55, p = 54, b = ?
Answer: 55

e = 84, o = 16, p = 27, y = 68, z = 66, r = 28, j = 15, o = ?
Answer: 16

i = 46, f = 90, o = 59, u = 54, o = ?
Answer: 59

w = 27, p = 87, g = 95, x = 26, o = 43, a = 51, a = ?
Answer: 51

z = 0, i = 77, h = 93, c = 89, b = 26, c = ?
Answer:",89,89,True,12
Reasoning Primitive,var_assign_depth_0_code,"r = 65, y = 88, x = 78, t = 10, z = 95, g = 22, m = 5, t = ?
Answer: 10

e = 32, c = 63, v = 62, n = 13, c = ?
Answer: 63

g = 16, h = 15, i = 60, x = 98, b = 92, z = 35, z = ?
Answer: 35

z = 8, p = 48, b = 46, k = 35, j = 87, n = 85, p = ?
Answer: 48

t = 46, o = 65, e = 10, z = 37, z = ?
Answer: 37

l = 10, t = 75, v = 88, e = 88, m = 49, x = 82, v = ?
Answer:",88,88,True,12
Reasoning Primitive,var_assign_depth_0_code,"u = 45, x = 95, m = 28, p = 50, n = 58, o = 7, p = ?
Answer: 50

e = 84, o = 16, p = 27, y = 68, z = 66, r = 28, j = 15, o = ?
Answer: 16

e = 32, c = 63, v = 62, n = 13, c = ?
Answer: 63

e = 35, w = 30, c = 77, r = 65, i = 87, z = 74, w = ?
Answer: 30

m = 54, x = 12, h = 17, t = 51, b = 52, h = ?
Answer: 17

s = 10, p = 36, l = 98, g = 15, i = 67, n = 51, i = ?
Answer:",67,67,True,12
Reasoning Primitive,var_assign_depth_0_code,"z = 95, a = 84, i = 36, d = 96, d = ?
Answer: 96

f = 86, a = 7, z = 58, b = 28, c = 53, d = 75, s = 19, b = ?
Answer: 28

u = 6, k = 25, o = 25, g = 80, b = 82, u = ?
Answer: 6

s = 27, c = 21, d = 24, u = 14, w = 69, l = 29, t = 43, t = ?
Answer: 43

e = 73, t = 42, w = 94, p = 22, l = 96, t = ?
Answer: 42

k = 71, l = 29, o = 31, j = 21, l = ?
Answer:",21,29,False,12
Reasoning Primitive,var_assign_depth_0_code,"a = 50, g = 33, l = 21, b = 26, r = 78, a = ?
Answer: 50

e = 99, x = 74, o = 13, y = 6, y = ?
Answer: 6

n = 69, t = 97, m = 79, v = 98, u = 68, t = ?
Answer: 97

w = 72, s = 74, b = 49, t = 86, y = 78, u = 34, b = ?
Answer: 49

d = 22, t = 7, r = 89, e = 22, q = 7, y = 21, r = ?
Answer: 89

a = 34, t = 67, c = 34, j = 21, s = 31, k = 10, j = ?
Answer:",21,21,True,12
Reasoning Primitive,var_assign_depth_0_code,"e = 73, t = 42, w = 94, p = 22, l = 96, t = ?
Answer: 42

s = 25, v = 6, a = 56, c = 11, t = 51, j = 72, l = 62, s = ?
Answer: 25

e = 32, c = 63, v = 62, n = 13, c = ?
Answer: 63

e = 99, x = 74, o = 13, y = 6, y = ?
Answer: 6

s = 99, r = 54, c = 33, h = 75, x = 86, r = ?
Answer: 54

a = 50, g = 33, l = 21, b = 26, r = 78, a = ?
Answer:",50,50,True,12
Reasoning Primitive,var_assign_depth_0_code,"a = 50, g = 33, l = 21, b = 26, r = 78, a = ?
Answer: 50

m = 99, t = 54, a = 30, g = 88, o = 71, f = 31, y = 50, g = ?
Answer: 88

k = 5, s = 49, h = 77, t = 12, l = 54, m = 25, x = 77, s = ?
Answer: 49

o = 59, r = 67, h = 93, u = 3, o = ?
Answer: 59

z = 8, p = 48, b = 46, k = 35, j = 87, n = 85, p = ?
Answer: 48

t = 47, y = 3, v = 61, o = 44, m = 27, b = 89, o = ?
Answer:",44,44,True,12
Reasoning Primitive,var_assign_depth_0_code,"z = 58, q = 60, l = 73, o = 75, t = 27, c = 34, t = ?
Answer: 27

f = 86, a = 7, z = 58, b = 28, c = 53, d = 75, s = 19, b = ?
Answer: 28

p = 91, g = 24, h = 80, x = 85, t = 78, q = 36, i = 36, i = ?
Answer: 36

g = 14, d = 7, c = 49, b = 66, a = 91, l = 64, u = 98, b = ?
Answer: 66

q = 59, n = 91, l = 29, w = 47, q = ?
Answer: 59

e = 73, t = 42, w = 94, p = 22, l = 96, t = ?
Answer:",42,42,True,12
Reasoning Primitive,var_assign_depth_0_code,"w = 85, h = 87, d = 42, x = 80, l = 3, a = 93, j = 29, d = ?
Answer: 42

z = 19, c = 8, t = 20, p = 9, y = 4, f = 94, w = 67, c = ?
Answer: 8

b = 15, c = 3, v = 45, z = 3, x = 11, b = ?
Answer: 15

y = 54, b = 8, e = 65, n = 6, v = 94, t = 46, c = 66, b = ?
Answer: 8

p = 38, f = 29, q = 57, m = 53, v = 45, s = 48, s = ?
Answer: 48

w = 27, p = 87, g = 95, x = 26, o = 43, a = 51, a = ?
Answer:",51,51,True,12
