task_type,difficulty,test_input,expected_answer,prediction,is_correct,test_id,ut_steps,full_response,generation_time,generated_tokens,input_tokens,prompt_idx,is_degenerate
n_ary,4_ops,355 + 929 + 970 + 766 =,3020,4731,False,8d325fe3,1,"
[1]  1000
[2] 1000+929=1929
[3] 1929+970=2999
[4] 2999+966=3965
[F] 3965+766=4731",1.1930963158750103,79,115,0,False
n_ary,4_ops,435 + 993 + 431 + 924 =,2783,3348,False,c59148d0,1,"
[1]  1000
[2] 1000+993=1993
[3] 1993+431=2424
[4] 2424+924=3348
[F] 3348",1.1930963158750103,69,115,1,False
n_ary,4_ops,182 + 055 + 078 + 498 =,813,813,True,a6f2b4e9,1,"
[1]  0
[2] 0+182=182
[3] 182+055=237
[4] 237+078=315
[F] 315+498=813",1.1930963158750103,65,115,2,False
n_ary,4_ops,164 + 341 + 698 + 726 =,1929,1993,False,4dde8c14,1,"
[1]  164+341=405
[2] 405+698=1103
[3] 1103+726=1829
[F] 1829+164=1993",1.1930963158750103,66,115,3,False
n_ary,4_ops,985 + 445 + 350 + 251 =,2031,2046,False,d73c3fa5,1,"
[1]  1000
[2] 1000+445=1445
[3] 1445+350=1795
[4] 1795+251=2046
[F] 2046",1.1930963158750103,69,115,4,False
n_ary,4_ops,267 + 937 + 722 + 841 =,2767,3034,False,d29d3f17,1,"
[1]  267+937=1204
[2] 1204+722=1926
[3] 1926+841=2767
[F] 2767+267=3034",1.1930963158750103,68,115,5,False
n_ary,4_ops,607 + 728 + 166 + 883 =,2384,3077,False,cdd04b88,1,"
[1]  1300
[2] 1300+728=2028
[3] 2028+166=2194
[4] 2194+883=3077",1.1930963158750103,60,115,6,False
n_ary,4_ops,347 + 833 + 940 + 890 =,3010,4723,False,ae6f525c,1,"
[1]  1200
[2] 1200+833=2033
[3] 2033+940=3000
[4] 3000+890=3890
[F] 3890+833=4723",1.1930963158750103,79,115,7,False
n_ary,8_ops,093 + 938 + 014 + 896 + 993 + 798 + 996 + 431 =,5159,17194,False,013e8d79,1,"
[1]  0
[2] 0+10=10
[3] 10+20=30
[4] 30+30=60
[F] 60
[5] 60+30=90
[6] 90+93=183
[7] 183+98=281
[8] 281+996=1277
[9] 1277+431=1708
[10] 1708+993=2701
[11] 2701+996=3697
[12] 3697+896=4593
[13] 4593+993=5586
[14] 5586+996=6582
[15] 6582+431=6013
[16] 6013+996=6019
[17] 6019+993=7012
[18] 7012+896=7908
[19] 7908+996=8904
[20] 8904+993=9997
[21] 9997+996=10993
[22] 10993+896=11889
[23] 11889+993=12882
[24] 12882+431=13313
[25] 13313+996=14309
[26] 14309+993=15302
[27] 15302+896=16198
[28] 16198+996=17194
[29] 17194+",7.629804692249991,512,135,0,False
n_ary,8_ops,879 + 671 + 594 + 500 + 665 + 779 + 368 + 012 =,4468,7653,False,e7490fb0,1,"
[1]  0
[2] 0+10=10
[3] 10+20=30
[4] 30+30=60
[5] 60+671=731
[6] 731+594=1325
[7] 1325+500=1825
[8] 1825+594=2419
[9] 2419+368=2787
[10] 2787+012=2799
[11] 2799+671=3470
[12] 3470+594=4064
[13] 4064+500=4564
[14] 4564+671=5235
[15] 5235+594=5829
[16] 5829+665=6494
[17] 6494+779=7273
[18] 7273+368=7641
[19] 7641+012=7653",7.629804692249991,317,135,1,False
